,page_id,title,wiki_link_complete
100,62359485,Gokulananda_Mohanty,https://en.wikipedia.org/wiki/Gokulananda_Mohanty
101,51959022,Lalatendu_Bidyadhar_Mohapatra,https://en.wikipedia.org/wiki/Lalatendu_Bidyadhar_Mohapatra
102,12421855,Pyarimohan_Mohapatra,https://en.wikipedia.org/wiki/Pyarimohan_Mohapatra
103,46686811,Draupadi_Murmu,https://en.wikipedia.org/wiki/Draupadi_Murmu
104,48669164,Salkhan_Murmu,https://en.wikipedia.org/wiki/Salkhan_Murmu
105,58174903,Anam_Naik,https://en.wikipedia.org/wiki/Anam_Naik
106,49261370,Gourahari_Naik,https://en.wikipedia.org/wiki/Gourahari_Naik
107,49332821,Subarna_Naik,https://en.wikipedia.org/wiki/Subarna_Naik
108,43400490,Nabin_Nanda,https://en.wikipedia.org/wiki/Nabin_Nanda
109,7119360,Ananta_Nayak,https://en.wikipedia.org/wiki/Ananta_Nayak
110,52060254,Atanu_Sabyasachi_Nayak,https://en.wikipedia.org/wiki/Atanu_Sabyasachi_Nayak
111,63259423,Bijaya_Kumar_Nayak,https://en.wikipedia.org/wiki/Bijaya_Kumar_Nayak
112,42487076,Laichan_Nayak,https://en.wikipedia.org/wiki/Laichan_Nayak
113,63969876,Mohan_Nayak,https://en.wikipedia.org/wiki/Mohan_Nayak
114,56244909,Mrutyunjaya_Nayak,https://en.wikipedia.org/wiki/Mrutyunjaya_Nayak
115,49245752,Upendra_Nath_Nayak,https://en.wikipedia.org/wiki/Upendra_Nath_Nayak
116,60081793,Niranjan_Jena,https://en.wikipedia.org/wiki/Niranjan_Jena
117,61246487,Shankar_Oram,https://en.wikipedia.org/wiki/Shankar_Oram
118,62312220,Padmacharan_Samantasinhar,https://en.wikipedia.org/wiki/Padmacharan_Samantasinhar
119,52195713,Basanta_Kumar_Panda,https://en.wikipedia.org/wiki/Basanta_Kumar_Panda
120,65009603,Ravi_Narayan_Pani,https://en.wikipedia.org/wiki/Ravi_Narayan_Pani
121,12421761,Rudra_Narayan_Pany,https://en.wikipedia.org/wiki/Rudra_Narayan_Pany
122,62311372,Banamali_Patnaik,https://en.wikipedia.org/wiki/Banamali_Patnaik
123,9505820,Janaki_Ballabh_Patnaik,https://en.wikipedia.org/wiki/Janaki_Ballabh_Patnaik
124,38646073,Jayanti_Patnaik,https://en.wikipedia.org/wiki/Jayanti_Patnaik
125,37576736,Niranjan_Patnaik,https://en.wikipedia.org/wiki/Niranjan_Patnaik
126,22728460,Raghunath_Patnaik,https://en.wikipedia.org/wiki/Raghunath_Patnaik
127,61135061,Ram_Krushna_Patnaik,https://en.wikipedia.org/wiki/Ram_Krushna_Patnaik
128,49310466,Badri_Narayan_Patra,https://en.wikipedia.org/wiki/Badri_Narayan_Patra
129,62315439,Sarat_Pattanayak,https://en.wikipedia.org/wiki/Sarat_Pattanayak
130,13353414,Debendra_Pradhan,https://en.wikipedia.org/wiki/Debendra_Pradhan
131,50797055,Saraswati_Pradhan,https://en.wikipedia.org/wiki/Saraswati_Pradhan
132,43409588,Khagapati_Pradhani,https://en.wikipedia.org/wiki/Khagapati_Pradhani
133,64688033,Rohit_Pujari,https://en.wikipedia.org/wiki/Rohit_Pujari
134,60848790,Suresh_Pujari,https://en.wikipedia.org/wiki/Suresh_Pujari
135,6063625,Balbir_Punj,https://en.wikipedia.org/wiki/Balbir_Punj
136,61249489,Pradip_Purohit,https://en.wikipedia.org/wiki/Pradip_Purohit
137,7174215,Vysyaraju_Kasi_Viswanadham_Raju,https://en.wikipedia.org/wiki/Vysyaraju_Kasi_Viswanadham_Raju
138,43412326,Jagannath_Rao,https://en.wikipedia.org/wiki/Jagannath_Rao
139,60074647,Ramchandra_Rath,https://en.wikipedia.org/wiki/Ramchandra_Rath
140,60079278,Somnath_Rath,https://en.wikipedia.org/wiki/Somnath_Rath
141,50623660,Bijayshree_Routray,https://en.wikipedia.org/wiki/Bijayshree_Routray
142,12928288,Nilamani_Routray,https://en.wikipedia.org/wiki/Nilamani_Routray
143,60849849,Mahesh_Sahoo,https://en.wikipedia.org/wiki/Mahesh_Sahoo
144,65258529,Anadi_Charan_Sahu,https://en.wikipedia.org/wiki/Anadi_Charan_Sahu
145,35847366,Bhagabat_Sahu,https://en.wikipedia.org/wiki/Bhagabat_Sahu
146,7119368,Chandra_Sekhar_Sahu,https://en.wikipedia.org/wiki/Chandra_Sekhar_Sahu
147,50616169,Yudhistir_Samantray,https://en.wikipedia.org/wiki/Yudhistir_Samantray
148,60840279,Aparajita_Sarangi,https://en.wikipedia.org/wiki/Aparajita_Sarangi
149,63969986,Ananta_Tripathi_Sarma,https://en.wikipedia.org/wiki/Ananta_Tripathi_Sarma
150,33814571,Suparno_Satpathy,https://en.wikipedia.org/wiki/Suparno_Satpathy
151,47460329,Shraddhakar_Supakar,https://en.wikipedia.org/wiki/Shraddhakar_Supakar
152,64337986,Shyam_Sunder_Mahapatra,https://en.wikipedia.org/wiki/Shyam_Sunder_Mahapatra
153,42799701,Prabhas_Kumar_Singh,https://en.wikipedia.org/wiki/Prabhas_Kumar_Singh
154,59134546,Dambaru_Sisa,https://en.wikipedia.org/wiki/Dambaru_Sisa
155,7119226,Mahamegha_Bahan_Aira_Kharbela_Swain,https://en.wikipedia.org/wiki/Mahamegha_Bahan_Aira_Kharbela_Swain
156,44649886,A._V._Swamy,https://en.wikipedia.org/wiki/A._V._Swamy
157,35040754,Bibhu_Prasad_Tarai,https://en.wikipedia.org/wiki/Bibhu_Prasad_Tarai
158,62012968,Kusum_Tete,https://en.wikipedia.org/wiki/Kusum_Tete
159,12421653,Sushila_Tiriya,https://en.wikipedia.org/wiki/Sushila_Tiriya
160,40851121,Frida_Topno,https://en.wikipedia.org/wiki/Frida_Topno
161,7119069,Braja_Kishore_Tripathy,https://en.wikipedia.org/wiki/Braja_Kishore_Tripathy
162,44277686,Pravat_Tripathy,https://en.wikipedia.org/wiki/Pravat_Tripathy
163,20617040,Sadashiva_Tripathy,https://en.wikipedia.org/wiki/Sadashiva_Tripathy
164,60850144,Bishweswar_Tudu,https://en.wikipedia.org/wiki/Bishweswar_Tudu
165,60850135,Saptagiri_Sankar_Ulaka,https://en.wikipedia.org/wiki/Saptagiri_Sankar_Ulaka
166,66528015,V._Sugnana_Kumari_Deo,https://en.wikipedia.org/wiki/V._Sugnana_Kumari_Deo
167,55919863,Bedavati_Buragohain,https://en.wikipedia.org/wiki/Bedavati_Buragohain
168,11625682,Bijoya_Chakravarty,https://en.wikipedia.org/wiki/Bijoya_Chakravarty
169,42781434,Sushmita_Dev,https://en.wikipedia.org/wiki/Sushmita_Dev
170,42272816,Naznin_Faruque,https://en.wikipedia.org/wiki/Naznin_Faruque
171,55933377,Joyasree_Goswami_Mahanta,https://en.wikipedia.org/wiki/Joyasree_Goswami_Mahanta
172,16910924,Ranee_Narah,https://en.wikipedia.org/wiki/Ranee_Narah
173,6994073,Leela_Roy,https://en.wikipedia.org/wiki/Leela_Roy
174,55933081,Basanti_Sarma,https://en.wikipedia.org/wiki/Basanti_Sarma
175,35222529,Moreshwar_Vasudeo_Abhyankar,https://en.wikipedia.org/wiki/Moreshwar_Vasudeo_Abhyankar
176,50807035,Anasuyabai_Kale,https://en.wikipedia.org/wiki/Anasuyabai_Kale
177,7018483,Mohite_Subodh_Baburao,https://en.wikipedia.org/wiki/Mohite_Subodh_Baburao
178,31358414,Shankar_Madhav_Chitnavis,https://en.wikipedia.org/wiki/Shankar_Madhav_Chitnavis
179,10139070,Swati_Dandekar,https://en.wikipedia.org/wiki/Swati_Dandekar
180,47990129,Pravin_Datke,https://en.wikipedia.org/wiki/Pravin_Datke
181,41921003,Bhavna_Kardam_Dave,https://en.wikipedia.org/wiki/Bhavna_Kardam_Dave
182,34852146,Narendra_R_Deoghare,https://en.wikipedia.org/wiki/Narendra_R_Deoghare
183,46920636,Ashish_Deshmukh,https://en.wikipedia.org/wiki/Ashish_Deshmukh
184,49070105,Ranjeet_Deshmukh,https://en.wikipedia.org/wiki/Ranjeet_Deshmukh
185,47010575,Sudhakar_Deshmukh,https://en.wikipedia.org/wiki/Sudhakar_Deshmukh
186,24711194,Jambuwantrao_Dhote,https://en.wikipedia.org/wiki/Jambuwantrao_Dhote
187,39961150,Devendra_Fadnavis,https://en.wikipedia.org/wiki/Devendra_Fadnavis
188,52752283,Parinay_Fuke,https://en.wikipedia.org/wiki/Parinay_Fuke
189,11907773,Nitin_Gadkari,https://en.wikipedia.org/wiki/Nitin_Gadkari
190,26294255,Gangadhar_Rao_Chitnavis,https://en.wikipedia.org/wiki/Gangadhar_Rao_Chitnavis
191,55439621,Vinod_Gudadhe_Patil,https://en.wikipedia.org/wiki/Vinod_Gudadhe_Patil
192,55666062,Ramchandra_Martand_Hajarnavis,https://en.wikipedia.org/wiki/Ramchandra_Martand_Hajarnavis
193,26903196,L._N._Hardas,https://en.wikipedia.org/wiki/L._N._Hardas
194,702442,Shrikant_Jichkar,https://en.wikipedia.org/wiki/Shrikant_Jichkar
195,35931062,Sanjay_Joshi,https://en.wikipedia.org/wiki/Sanjay_Joshi
196,13820707,Jogendra_Kawade,https://en.wikipedia.org/wiki/Jogendra_Kawade
197,18610133,Pandurang_Sadashiv_Khankhoje,https://en.wikipedia.org/wiki/Pandurang_Sadashiv_Khankhoje
198,30951750,D._K._Khaparde,https://en.wikipedia.org/wiki/D._K._Khaparde
199,40851419,Saroj_Khaparde,https://en.wikipedia.org/wiki/Saroj_Khaparde
200,26036801,Narayan_Bhaskar_Khare,https://en.wikipedia.org/wiki/Narayan_Bhaskar_Khare
201,46983922,Krishna_Khopde,https://en.wikipedia.org/wiki/Krishna_Khopde
202,47005181,Vikas_Kumbhare,https://en.wikipedia.org/wiki/Vikas_Kumbhare
203,47023515,Milind_Mane,https://en.wikipedia.org/wiki/Milind_Mane
204,46945328,Sameer_Meghe,https://en.wikipedia.org/wiki/Sameer_Meghe
205,55852977,Gargi_Shankar_Mishra,https://en.wikipedia.org/wiki/Gargi_Shankar_Mishra
206,49207062,Rajendra_Mulak,https://en.wikipedia.org/wiki/Rajendra_Mulak
207,7018521,Vilas_Muttemwar,https://en.wikipedia.org/wiki/Vilas_Muttemwar
208,55718648,Harshawardhan_Nikose,https://en.wikipedia.org/wiki/Harshawardhan_Nikose
209,27606929,Avinash_Pandey,https://en.wikipedia.org/wiki/Avinash_Pandey
210,25802172,Banwarilal_Purohit,https://en.wikipedia.org/wiki/Banwarilal_Purohit
211,11563210,Rajani_Rai,https://en.wikipedia.org/wiki/Rajani_Rai
212,25290736,Ramrao_Krishnarao_Patil,https://en.wikipedia.org/wiki/Ramrao_Krishnarao_Patil
213,58748812,Ramratan_Janorkar,https://en.wikipedia.org/wiki/Ramratan_Janorkar
214,25098624,Nitin_Raut,https://en.wikipedia.org/wiki/Nitin_Raut
215,35298962,N._K._P._Salve,https://en.wikipedia.org/wiki/N._K._P._Salve
216,44725954,Ajay_Sancheti,https://en.wikipedia.org/wiki/Ajay_Sancheti
217,48125092,V._Satish,https://en.wikipedia.org/wiki/V._Satish
218,51028460,Rajendra_Shingne,https://en.wikipedia.org/wiki/Rajendra_Shingne
219,47989185,Anil_Sole,https://en.wikipedia.org/wiki/Anil_Sole
220,52028931,Sumatitai_Suklikar,https://en.wikipedia.org/wiki/Sumatitai_Suklikar
221,41951793,Vimla_Verma,https://en.wikipedia.org/wiki/Vimla_Verma
222,49130714,Girish_Vyas,https://en.wikipedia.org/wiki/Girish_Vyas
223,58599585,Abhijit_Wanjarri,https://en.wikipedia.org/wiki/Abhijit_Wanjarri
224,2568992,S._K._Wankhede,https://en.wikipedia.org/wiki/S._K._Wankhede
225,34154271,Kazi_Jalil_Abbasi,https://en.wikipedia.org/wiki/Kazi_Jalil_Abbasi
226,61091810,Hashim_Raza_Allahabadi_Abdi,https://en.wikipedia.org/wiki/Hashim_Raza_Allahabadi_Abdi
227,66302945,Abdul_Mashhood_Khan,https://en.wikipedia.org/wiki/Abdul_Mashhood_Khan
228,66369201,Abdul_Warish_Khan,https://en.wikipedia.org/wiki/Abdul_Warish_Khan
229,61705921,Mohammad_Adeeb,https://en.wikipedia.org/wiki/Mohammad_Adeeb
230,35249436,Akbar_Ahmad,https://en.wikipedia.org/wiki/Akbar_Ahmad
231,59322759,Nafees_Ahmad,https://en.wikipedia.org/wiki/Nafees_Ahmad
232,61155365,Abrar_Ahmed_(politician),https://en.wikipedia.org/wiki/Abrar_Ahmed_(politician)
233,61130986,Mohammed_Shahid_Akhlaq,https://en.wikipedia.org/wiki/Mohammed_Shahid_Akhlaq
234,12422184,Kamal_Akhtar,https://en.wikipedia.org/wiki/Kamal_Akhtar
235,53565816,Alambadi_(politician),https://en.wikipedia.org/wiki/Alambadi_(politician)
236,12425872,Munquad_Ali,https://en.wikipedia.org/wiki/Munquad_Ali
